Country,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
AFGHANISTAN,73.8%,72.14%,71.39%,68.42%,56.05%,72.09%,52.65%,48.73%,48.89%,63.25%
ALBANIA,35.95%,40.45%,41.92%,41.45%,40.06%,10.78%,27.55%,31.10%,33.37%,37.32%
ALGERIA,36%,43.96%,39.26%,44.22%,49.69%,38.40%,18.10%,35.19%,50.72%,51.23%
ANDORRA,28.57%,0%,0%,12.50%,50.00%,0.00%,0.00%,22.22%,28.57%,9.09%
ANGOLA,48.52%,36.01%,51.76%,58.26%,62.15%,58.52%,47.25%,48.94%,49.36%,54.33%
ANTIGUA AND BARBUDA,22.11%,20.5%,19.07%,15.25%,23.44%,16.66%,14.09%,18.60%,26.74%,38.89%
ARGENTINA,2.14%,1.79%,1.73%,2.07%,2.79%,2.31%,3.66%,8.21%,8.90%,7.47%
ARMENIA,45.88%,51.87%,53.83%,51.65%,56.47%,37.07%,37.87%,51.49%,59.46%,56.37%
AUSTRALIA,15.38%,17.18%,17.99%,19.18%,18.74%,14.27%,12.55%,16.75%,20.67%,22.93%
AUSTRIA,5.93%,5%,5.39%,5.21%,8.91%,6.29%,6.97%,9.38%,9.94%,8.92%
AZERBAIJAN,14.83%,27.63%,28.45%,25.43%,26.41%,12.27%,23.54%,35.99%,21.46%,20.91%
"BAHAMAS, THE",9.35%,9.32%,12.51%,9.33%,12.59%,7.91%,8.30%,8.38%,12.81%,14.46%
BAHRAIN,6.26%,9.53%,6.96%,13.55%,9.04%,22.48%,28.41%,11.11%,17.83%,24.01%
BANGLADESH,62.82%,60.88%,40.05%,39.78%,40.34%,29.91%,30.30%,43.66%,46.09%,61.45%
BARBADOS,11.24%,8.72%,7.07%,6.76%,10.79%,12.93%,6.55%,9.63%,10.81%,18.46%
BELARUS,14.87%,21.69%,23.26%,21.93%,27.01%,16.81%,26.05%,32.80%,28.79%,26.58%
BELGIUM,7.33%,6.96%,9.77%,8.96%,16.47%,16.57%,8.73%,8.76%,11.65%,12.80%
BELIZE,35.21%,30.91%,34.55%,28.63%,23.31%,25.36%,26.45%,26.25%,29.48%,32.32%
BENIN,38.01%,42.1%,47.74%,48.48%,45.27%,32.05%,40.57%,49.11%,61.49%,64.58%
BHUTAN,69.78%,52.43%,59.63%,57.13%,53.56%,43.33%,34.55%,45.03%,49.46%,56.03%
BOLIVIA,14.36%,18.08%,22.19%,24.17%,20.36%,11.30%,17.15%,22.15%,28.93%,29.83%
BOSNIA-HERZEGOVINA,19.7%,16.37%,23.5%,25.27%,16.01%,21.84%,19.91%,18.49%,11.64%,14.89%
BOTSWANA,18.97%,17.94%,18.67%,17.54%,19.26%,0.00%,11.19%,23.81%,32.44%,38.44%
BRAZIL,16.7%,12.34%,12.73%,18.48%,23.16%,14.25%,14.48%,11.94%,15.48%,14.87%
BRUNEI,13.51%,3.7%,4.35%,4.76%,0.00%,0.00%,5.41%,10.71%,4.00%,8.33%
BULGARIA,16.86%,14.97%,11.32%,9.75%,12.52%,18.40%,10.00%,11.61%,6.02%,5.11%
BURKINA FASO,65.35%,75.74%,71.16%,62.32%,62.86%,24.55%,39.25%,45.20%,58.03%,71.25%
BURMA,13.02%,17.88%,23.12%,30.91%,40.68%,39.40%,46.15%,43.67%,62.58%,64.19%
BURUNDI,61.33%,75.55%,74.39%,73.16%,77.72%,53.23%,69.52%,66.29%,65.52%,69.23%
CABO VERDE,45.89%,50.7%,54.22%,52.66%,42.74%,25.32%,33.68%,41.55%,52.02%,53.87%
CAMBODIA,35.62%,41.05%,32.63%,33.65%,26.50%,35.62%,24.50%,25.95%,28.32%,
CAMEROON,36.84%,47.29%,52.27%,57.97%,57.12%,39.93%,52.22%,58.62%,55.57%,60.55%
CANADA,47.93%,41.14%,38.98%,43.76%,52.67%,51.81%,58.33%,52.04%,56.35%,53.10%
CENTRAL AFRICAN REPUBLIC,35.12%,44.24%,36.03%,37.45%,48.67%,36.36%,36.70%,56.67%,48.46%,42.60%
CHAD,42.53%,51.65%,60.8%,70.16%,70.60%,72.77%,69.39%,42.50%,58.60%,61.63%
CHILE,11.43%,13.87%,11.34%,15.32%,11.54%,13.42%,13.75%,16.12%,20.15%,16.38%
CHINA,12.35%,14.57%,17%,18.22%,22.12%,79.09%,30.39%,26.63%,25.37%,20.21%
COLOMBIA,17.79%,21.93%,35.11%,41.93%,46.82%,27.75%,32.86%,20.59%,24.70%,32.84%
COMOROS,53.73%,48.45%,69.46%,53.02%,86.15%,73.68%,43.48%,33.33%,25.42%,30.19%
"CONGO, REPUBLIC OF THE",46.55%,49.94%,52.23%,60.49%,59.34%,63.82%,43.93%,48.53%,46.77%,63.37%
"CONGO, DEMOCRATIC REPUBLIC OF THE",45.63%,48.47%,50.56%,53.80%,58.03%,37.36%,37.19%,49.65%,48.78%,64.75%
COSTA RICA,8.39%,6.49%,9.91%,18.66%,24.77%,7.97%,12.71%,16.09%,12.66%,16.14%
COTE D`IVOIRE,37.38%,33.72%,33.81%,35.73%,40.66%,25.33%,23.08%,24.85%,30.08%,36.79%
CROATIA,6.78%,5.1%,5.92%,4.02%,2.69%,4.65%,5.56%,9.32%,11.56%,14.75%
CUBA,81.85%,77.17%,50.97%,53.40%,60.15%,52.69%,56.51%,49.96%,53.35%,70.86%
CYPRUS,2.03%,1.69%,2.38%,2.78%,6.21%,15.09%,6.22%,4.48%,2.16%,2.55%
CZECH REPUBLIC,7.82%,6.81%,10.37%,12.41%,26.82%,16.24%,8.50%,8.05%,7.96%,8.66%
DENMARK,11.74%,13.18%,12.38%,14.26%,17.58%,31.11%,12.17%,10.66%,9.25%,12.59%
DJIBOUTI,47.09%,74.8%,82.96%,85.35%,69.79%,88.34%,74.44%,68.37%,64.71%,61.47%
DOMINICA,31.63%,28.74%,37.13%,26.83%,30.38%,22.85%,25.00%,29.10%,35.41%,42.89%
DOMINICAN REPUBLIC,31.88%,35.78%,49.54%,53.21%,39.18%,4.33%,15.75%,36.69%,43.38%,36.40%
ECUADOR,29.18%,27.95%,31.38%,34.05%,33.44%,15.68%,17.51%,26.67%,36.99%,42.24%
EGYPT,28.61%,34.24%,32.15%,31.83%,35.16%,23.81%,23.11%,26.11%,39.77%,47.61%
EL SALVADOR,57.12%,52.97%,51.49%,58.18%,62.95%,20.63%,45.46%,57.91%,52.65%,58.22%
EQUATORIAL GUINEA,17.75%,18.21%,21.29%,27.79%,59.18%,74.13%,48.32%,40.35%,55.07%,68.63%
ERITREA,50.49%,71.69%,69.54%,65.39%,63.62%,55.96%,47.04%,61.97%,49.94%,60.02%
ESTONIA,20.74%,21.16%,26.73%,24.81%,32.65%,9.09%,21.43%,16.22%,9.79%,11.33%
ESWATINI,,,8.49%,5.73%,5.52%,8.89%,9.30%,7.84%,38.44%,50.87%
ETHIOPIA,38.13%,50.3%,41.74%,45.46%,39.73%,7.52%,25.32%,41.20%,51.17%,53.64%
FEDERATED STATES OF MICRONESIA,25%,100%,100%,100.00%,0.00%,0.00%,100.00%,100.00%,0.00%,100.00%
FIJI,20.23%,26.59%,41.74%,38.96%,44.44%,56.64%,45.36%,41.88%,35.25%,32.83%
FINLAND,7.72%,11.78%,15.05%,11.00%,14.03%,16.51%,13.07%,22.82%,14.49%,
FRANCE,7.3%,7.43%,10.11%,13.67%,21.58%,22.21%,12.55%,10.11%,8.50%,9.67%
GABON,21.29%,26.1%,40%,45.41%,37.61%,31.25%,21.65%,29.62%,27.76%,44.63%
"GAMBIA, THE",69.87%,70.27%,64.22%,72.30%,66.84%,40.30%,50.64%,60.40%,66.03%,75.29%
GEORGIA,62.82%,61.09%,62.35%,63.85%,66.91%,63.04%,42.01%,49.23%,41.44%,45.57%
GERMANY,7.25%,5.91%,7.4%,9.30%,12.69%,24.82%,11.69%,10.84%,10.02%,12.22%
GHANA,65.7%,56.18%,49.35%,55.60%,57.01%,17.49%,27.66%,37.56%,55.59%,64.34%
GREAT BRITAIN AND NORTHERN IRELAND,20.42%,20.15%,20.29%,21.05%,23.58%,11.97%,15.55%,14.69%,18.03%,20.44%
GREECE,16.37%,13.14%,16.93%,14.99%,18.58%,10.86%,14.95%,15.57%,10.16%,9.30%
GRENADA,35.71%,26.94%,26.44%,19.49%,24.76%,19.63%,16.58%,20.37%,33.13%,43.73%
GUATEMALA,48.68%,47.14%,53.62%,58.64%,52.36%,7.26%,5.45%,21.55%,30.84%,39.21%
GUINEA,63.53%,64.59%,66.16%,73.29%,63.79%,61.26%,53.56%,61.37%,70.25%,66.90%
GUINEA - BISSAU,71.88%,71.61%,76.09%,65.33%,66.36%,62.50%,60.91%,48.15%,76.59%,75.17%
GUYANA,25.76%,37.92%,70.62%,62.96%,62.20%,36.76%,28.42%,39.22%,34.25%,26.61%
HAITI,64.52%,71.44%,67.59%,60.81%,50.16%,45.87%,47.12%,47.94%,47.35%,50.26%
HONDURAS,42.76%,40.35%,60.32%,61.71%,52.10%,12.38%,30.47%,33.79%,42.61%,46.52%
HONG KONG S. A. R.,4.61%,3.45%,4.25%,3.23%,4.50%,5.28%,4.88%,5.49%,6.16%,7.72%
HUNGARY,15.48%,13.04%,10.53%,8.85%,16.36%,16.67%,8.44%,7.29%,5.93%,7.91%
ICELAND,7.69%,7.46%,7.14%,9.44%,18.98%,25.00%,3.24%,4.54%,5.80%,5.43%
INDIA,26.02%,23.29%,26.07%,27.75%,27.26%,12.25%,6.54%,10.99%,16.32%,22.04%
INDONESIA,11.19%,10.99%,12.81%,12.46%,12.19%,5.83%,12.23%,10.95%,20.09%,26.69%
